portal_slug,research_date,camp_name,section,source_type,blurb,listing_url,source_name
atlanta-families,2026-02-20,The Studios Brookhaven Piano Camp,Arts Camps (Pass 2),day,The Studios Brookhaven piano camp session in June 2026.,https://thestudiosbrookhaven.com/camps/,The Studios Brookhaven
atlanta-families,2026-02-20,Future Stars Soccer Academy Camp,Sports Camps (Pass 2),day,Soccer camp for ages 4-16 with June and July 2026 sessions at Oglethorpe University.,https://fssoccercamps.com/,Future Stars Soccer Academy
atlanta-families,2026-02-20,Gwinnett Adventure Day Camp - Best Friend Park Gym,Public Parks Camps (Pass 2),day,Gwinnett County day camp location for ages 5-13.,https://www.gwinnettcounty.com/government/departments/parks-recreation/recreation/camps,Gwinnett County Parks and Recreation
atlanta-families,2026-02-20,Gwinnett Adventure Day Camp - Bogan Park Community Recreation Center,Public Parks Camps (Pass 2),day,Gwinnett County day camp location for ages 5-13.,https://www.gwinnettcounty.com/government/departments/parks-recreation/recreation/camps,Gwinnett County Parks and Recreation
atlanta-families,2026-02-20,Gwinnett Adventure Day Camp - George Pierce Park Community Recreation Center,Public Parks Camps (Pass 2),day,Gwinnett County day camp location for ages 5-13.,https://www.gwinnettcounty.com/government/departments/parks-recreation/recreation/camps,Gwinnett County Parks and Recreation
atlanta-families,2026-02-20,Gwinnett Adventure Day Camp - Lucky Shoals Park Community Recreation Center,Public Parks Camps (Pass 2),day,Gwinnett County day camp location for ages 5-13.,https://www.gwinnettcounty.com/government/departments/parks-recreation/recreation/camps,Gwinnett County Parks and Recreation
atlanta-families,2026-02-20,Gwinnett Adventure Day Camp - Pinckneyville Park Community Recreation Center,Public Parks Camps (Pass 2),day,Gwinnett County day camp location for ages 5-13.,https://www.gwinnettcounty.com/government/departments/parks-recreation/recreation/camps,Gwinnett County Parks and Recreation
atlanta-families,2026-02-20,Gwinnett Adventure Day Camp - Rhodes Jordan Park Community Recreation Center,Public Parks Camps (Pass 2),day,Gwinnett County day camp location for ages 5-13.,https://www.gwinnettcounty.com/government/departments/parks-recreation/recreation/camps,Gwinnett County Parks and Recreation
atlanta-families,2026-02-20,Gwinnett Adventure Day Camp - Shorty Howell Park Activity Building,Public Parks Camps (Pass 2),day,Gwinnett County day camp location for ages 5-13.,https://www.gwinnettcounty.com/government/departments/parks-recreation/recreation/camps,Gwinnett County Parks and Recreation
atlanta-families,2026-02-20,Camp Best Friends 2026 - Bessie Branham Recreation Center,Public Parks Camps (Pass 2),day,City of Atlanta camp listing for ages 5-12 at Bessie Branham Recreation Center.,https://www.activekids.com/atlanta-ga/summer-camp/camp-best-friends-cbf-2026-for-ages-5-12-at-bessie-branham-rec-center-2026,City of Atlanta / ActiveKids
atlanta-families,2026-02-20,Camp Best Friends 2026 - C.T. Martin Natatorium and Recreation Center,Public Parks Camps (Pass 2),day,City of Atlanta camp listing for ages 5-12 at C.T. Martin Natatorium and Recreation Center.,https://www.activekids.com/atlanta-ga/summer-camp/camp-best-friends-cbf-2026-for-ages-5-12-at-c-t-martin-natatorium-and-rec-center-2026,City of Atlanta / ActiveKids
atlanta-families,2026-02-20,Camp Best Friends 2026 - Harper-Archer Recreation Center,Public Parks Camps (Pass 2),day,City of Atlanta camp listing for ages 5-12 at Harper-Archer Recreation Center.,https://www.activekids.com/atlanta-ga/summer-camp/camp-best-friends-cbf-2026-for-ages-5-12-at-harper-archer-rec-center-2026,City of Atlanta / ActiveKids
atlanta-families,2026-02-20,Camp Best Friends 2026 - Perkerson Recreation Center,Public Parks Camps (Pass 2),day,City of Atlanta camp listing for ages 5-12 at Perkerson Recreation Center.,https://www.activekids.com/atlanta-ga/summer-camp/camp-best-friends-cbf-2026-for-ages-5-12-at-perkerson-rec-center-2026,City of Atlanta / ActiveKids
atlanta-families,2026-02-20,Camp Best Friends 2026 - Rosel Fann Recreation Center,Public Parks Camps (Pass 2),day,City of Atlanta camp listing for ages 5-12 at Rosel Fann Recreation Center.,https://www.activekids.com/atlanta-ga/summer-camp/camp-best-friends-cbf-2026-for-ages-5-12-at-rosel-fann-rec-center-2026,City of Atlanta / ActiveKids
atlanta-families,2026-02-20,Camp Superstars 2026 - N.H. Scott Recreation Center,Public Parks Camps (Pass 2),day,DeKalb County camp listing for ages 5-13 at N.H. Scott Recreation Center.,https://www.activekids.com/atlanta-ga/camp/dekalb-county-georgia-campsuperstars-2026-at-n-h-scott-rec-center-2026,DeKalb County / ActiveKids
atlanta-families,2026-02-20,Camp Superstars 2026 - Tobie Grant Recreation Center,Public Parks Camps (Pass 2),day,DeKalb County camp listing for ages 5-13 at Tobie Grant Recreation Center.,https://www.activekids.com/atlanta-ga/camp/dekalb-county-georgia-campsuperstars-2026-at-tobie-grant-rec-center-2026,DeKalb County / ActiveKids
