/Users/coach/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
Starting image coverage audit...
Run date: 2026-02-14 11:23:12
HTTP Request: GET https://rtppvljfrkjtoxmaizea.supabase.co/rest/v1/events?select=id%2Csource_id%2Cimage_url%2Csources%28id%2Cname%29&start_date=gte.2026-02-14 "HTTP/2 200 OK"

================================================================================
IMAGE COVERAGE BY SOURCE (Upcoming Events Only)
================================================================================
Source Name                              |  Total |   With |   Miss |  Cov%
Atlanta-Fulton Public Library            |    188 |    188 |      0 | 100.0%
Oakland Cemetery                         |     10 |     10 |      0 | 100.0%
Ticketmaster Nashville                   |    100 |    100 |      0 | 100.0%
Eddie's Attic                            |     10 |     10 |      0 | 100.0%
Eyedrum                                  |      5 |      5 |      0 | 100.0%
Atlanta History Center                   |     11 |     11 |      0 | 100.0%
Georgia Tech Athletics                   |     41 |     41 |      0 | 100.0%
College Park Main Street Association     |      9 |      9 |      0 | 100.0%
Kai Lin Art                              |     10 |     10 |      0 | 100.0%
Spivey Hall                              |      6 |      6 |      0 | 100.0%
Kennesaw State Athletics                 |     22 |     22 |      0 | 100.0%
City Springs                             |     28 |     28 |      0 | 100.0%
HTTP Request: GET https://rtppvljfrkjtoxmaizea.supabase.co/rest/v1/events?select=id%2Cvenue_id%2Cvenues%28id%2Cname%2Cimage_url%29&start_date=gte.2026-02-14&image_url=is.null "HTTP/2 200 OK"
Ryman Auditorium                         |      9 |      9 |      0 | 100.0%
The Springs Cinema & Taphouse            |    194 |    194 |      0 | 100.0%
Chattahoochee Riverkeeper                |      8 |      8 |      0 | 100.0%
Ferst Center for the Arts                |     11 |     11 |      0 | 100.0%
MJQ Concourse                            |     14 |     14 |      0 | 100.0%
3rd & Lindsley                           |     71 |     71 |      0 | 100.0%
Red Light Cafe                           |      7 |      7 |      0 | 100.0%
7 Stages                                 |     10 |     10 |      0 | 100.0%
Aisle 5                                  |     21 |     21 |      0 | 100.0%
Round Trip Brewing                       |      8 |      8 |      0 | 100.0%
The Maker Station                        |      7 |      7 |      0 | 100.0%
Explore Newnan Coweta                    |      5 |      5 |      0 | 100.0%
Bookish Atlanta                          |      6 |      6 |      0 | 100.0%
Spruill Center for the Arts              |      5 |      5 |      0 | 100.0%
Children's Museum of Atlanta             |     18 |     18 |      0 | 100.0%
Southern Museum of Civil War and Locomo  |      5 |      5 |      0 | 100.0%
Krog Street Market                       |      5 |      5 |      0 | 100.0%
Georgia Celebrates Quilts                |      6 |      6 |      0 | 100.0%
Cobb Energy Performing Arts Centre       |     29 |     29 |      0 | 100.0%
Aurora Theatre                           |      5 |      5 |      0 | 100.0%
Atlanta Horror Film Festival             |     28 |     28 |      0 | 100.0%
Atlanta Underground Film Festival        |     29 |     29 |      0 | 100.0%
Beer, Bourbon & BBQ Festival             |      8 |      8 |      0 | 100.0%
Devnexus                                 |     36 |     36 |      0 | 100.0%
Georgia Tech Arts                        |      7 |      7 |      0 | 100.0%
Wrens Nest House Museum                  |      8 |      8 |      0 | 100.0%
529                                      |     13 |     13 |      0 | 100.0%
Atlanta Shortsfest                       |     17 |     17 |      0 | 100.0%
================================================================================
Total sources with 5+ upcoming events: 129

================================================================================
TOP IMAGELESS VENUES (venue has image — events can use venue.image_url)
================================================================================
Venue Name                                         |  Events
--------------------------------------------------------------------------------
Callanwolde Fine Arts Center                       |     606
MJCCA                                              |     278
Georgia World Congress Center                      |      59
Central Presbyterian Church                        |      43
Emory University                                   |      37
================================================================================
Total venues with image (can use as fallback): 5

================================================================================
TOP IMAGELESS VENUES (no venue image — need crawler or upload)
================================================================================
Venue Name                                         |  Events
--------------------------------------------------------------------------------
8111 Club                                          |     151
Triangle Club                                      |     126
H.O.W. Place                                       |     103
N.A.B.A. Club                                      |      99
NA Meeting Location                                |      78
Emory Decatur Hospital                             |      77
Highland Club                                      |      68
Gwinnett Room                                      |      65
Cook's Warehouse                                   |      65
S.U.R Club                                         |      62
Serenity House - Buford                            |      59
Tara Club                                          |      55
ATLVets                                            |      48
Rebos Club                                         |      47
Galano Club                                        |      46
Clayton House                                      |      42
Roswell United Methodist Church                    |      41
80 Newnan Station                                  |      38
Mercy Point Tabernacle of Praise                   |      37
Sober on Church Street Recovery                    |      34
365 Center Inc                                     |      32
First United Methodist Church                      |      31
H.A.L.T. Club                                      |      29
Atlanta Biscayne Room                              |      28
E.G.A.B.A. Club                                    |      28
================================================================================
Total venues without image (need enrichment): 25

================================================================================
SUMMARY STATISTICS
================================================================================
Total upcoming events analyzed: 4,655
Events with images: 2,570 (55.2%)
Events missing images: 2,085 (44.8%)

Sources with <50% coverage: 39 of 129
Sources with 0% coverage: 25 of 129

Venues with image available for fallback: 5
Venues needing image enrichment: 25
================================================================================

================================================================================
RECOMMENDATIONS
================================================================================
1. Sources with <50% coverage: Add image extraction to crawler
2. Venues with image + many imageless events: Update event insert to use venue fallback
3. Venues without image: Run scrape_venue_images.py or fetch_venue_photos_google.py
4. High-volume sources missing images: Prioritize OMDB/Spotify/API integrations

PRIORITY FIXES:

Top 5 sources by missing image count:
  - Alcoholics Anonymous - Atlanta: 745 events (0.0% coverage)
  - Callanwolde Fine Arts Center: 315 events (0.0% coverage)
  - Narcotics Anonymous - Georgia: 246 events (0.0% coverage)
  - Marcus Jewish Community Center of Atlanta: 187 events (0.0% coverage)
  - Emory Healthcare Community Events: 58 events (0.0% coverage)
================================================================================
